state,homeownership,annual_income,debt_to_income,months_since_last_delinq,inquiries_last_12m,open_credit_lines,total_credit_limit,total_credit_utilized,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,balance,paid_total,paid_principal,paid_interest
NJ,MORTGAGE,90000.0,18.01,38.0,6,10,70795,38767,2,5,5.0,10,2,11100,14,8,6,1,92.9,moving,28000,60,14.07,652.53,C,Mar-2018,27015.86,1999.33,984.14,1015.19
HI,RENT,40000.0,5.04,0.0,1,14,28800,4321,0,11,8.0,14,3,16500,24,14,4,0,100.0,debt_consolidation,5000,36,12.61,167.54,C,Feb-2018,4651.37,499.12,348.63,150.49
WI,RENT,40000.0,21.15,28.0,4,10,24193,16000,1,13,7.0,10,3,4300,14,8,6,0,93.5,other,2000,36,17.09,71.4,D,Feb-2018,1824.63,281.8,175.37,106.43
PA,RENT,30000.0,10.16,0.0,0,4,25400,4997,1,1,15.0,4,2,19400,3,3,2,0,100.0,debt_consolidation,21600,36,6.72,664.19,A,Jan-2018,18853.26,3312.89,2746.74,566.15
KY,OWN,34000.0,6.46,3.0,6,12,42100,3898,0,2,5.0,12,1,27200,27,12,5,3,78.1,other,5000,36,6.72,153.75,A,Jan-2018,4256.71,873.13,743.29,129.84
AZ,MORTGAGE,110000.0,16.19,19.0,1,15,342336,60805,2,4,7.0,15,5,22250,16,12,10,7,93.0,debt_consolidation,20000,60,11.99,444.79,B,Jan-2018,19005.39,1765.84,994.61,771.23
NV,MORTGAGE,65000.0,36.48,18.0,3,21,283190,69561,6,10,4.0,21,11,36700,19,14,14,2,97.1,home_improvement,20000,36,13.59,679.58,C,Feb-2018,18156.66,2703.22,1843.34,859.88
IL,RENT,30000.0,18.91,0.0,0,6,33114,17768,1,5,17.0,6,3,14700,7,5,3,0,100.0,credit_card,6400,36,6.71,196.77,A,Mar-2018,6077.13,391.15,322.87,68.28
IL,MORTGAGE,75000.0,10.45,50.0,4,10,39433,22895,2,6,3.0,10,2,5000,16,8,5,2,94.1,debt_consolidation,25000,60,15.04,595.28,C,Mar-2018,24143.51,1764.95,856.49,908.46
FL,MORTGAGE,91900.0,1.82,0.0,4,10,450371,55939,1,7,4.0,10,2,9000,15,8,3,3,92.0,other,40000,60,9.92,848.31,B,Mar-2018,38434.2,2500.84,1565.8,935.04
SC,MORTGAGE,122000.0,12.06,37.0,8,12,263800,43686,2,11,1.0,12,3,12100,20,9,5,3,84.4,debt_consolidation,16000,36,13.59,543.67,C,Feb-2018,14525.3,2204.88,1474.7,730.18
CO,MORTGAGE,88000.0,3.67,44.0,6,21,259915,14387,0,7,0.0,21,4,70800,53,20,6,3,98.4,credit_card,17000,60,9.43,356.46,B,Feb-2018,16326.13,1060.47,673.87,386.6
FL,MORTGAGE,17000.0,33.98,6.0,0,10,74042,26483,3,4,14.0,10,2,3600,17,7,2,1,90.9,debt_consolidation,3000,36,19.03,110.02,D,Jan-2018,2744.21,454.36,255.79,198.57
TN,MORTGAGE,60000.0,38.46,0.0,0,11,136815,75552,3,1,,11,3,39700,10,8,3,2,100.0,credit_card,20000,60,19.03,519.15,D,Feb-2018,19172.64,2023.74,827.36,1196.38
NV,MORTGAGE,60000.0,31.22,77.0,4,9,375092,93016,3,8,2.0,9,2,15800,7,5,3,2,95.2,credit_card,12000,60,19.03,311.49,D,Jan-2018,11374.52,1532.08,625.48,906.6
NV,RENT,72000.0,20.33,37.0,6,6,58911,54947,2,3,2.0,6,1,2500,5,4,2,0,91.7,debt_consolidation,30000,60,28.72,947.15,F,Jan-2018,28798.08,4687.88,1201.92,3485.96
KY,MORTGAGE,50000.0,15.6,0.0,0,9,70313,18128,2,4,13.0,9,2,18800,7,6,4,1,100.0,credit_card,7000,36,6.08,213.21,A,Jan-2018,6102.23,1063.69,897.77,165.92
NJ,MORTGAGE,100000.0,26.53,0.0,1,17,566384,151251,7,10,6.0,17,3,26200,22,8,6,6,100.0,debt_consolidation,21050,60,13.59,485.34,C,Feb-2018,20045.3,1909.57,1004.7,904.87
TX,MORTGAGE,40280.0,7.27,0.0,1,4,188450,6103,1,0,9.0,4,1,7500,7,2,1,1,90.0,home_improvement,3500,36,6.71,107.61,A,Mar-2018,3323.42,223.71,176.58,47.13
VA,RENT,82000.0,17.31,67.0,1,7,65425,69177,2,3,4.0,7,2,11500,14,5,5,2,88.0,credit_card,8000,36,7.96,250.55,A,Mar-2018,7403.61,744.57,596.39,148.18
PA,MORTGAGE,55000.0,14.42,0.0,0,14,197985,17296,1,3,,14,7,22100,16,12,8,1,100.0,debt_consolidation,18000,60,12.61,405.98,C,Feb-2018,17342.65,1205.33,657.35,547.98
NY,RENT,55000.0,13.68,44.0,7,11,41891,26637,1,11,3.0,11,3,17700,16,10,4,0,100.0,credit_card,10000,36,11.98,332.05,B,Mar-2018,9432.28,750.79,567.72,183.07
IL,RENT,33000.0,19.38,0.0,0,8,43876,22920,5,2,19.0,8,3,17600,3,3,3,0,100.0,debt_consolidation,3200,36,7.34,99.31,A,Feb-2018,2557.44,696.63,642.56,54.07
GA,RENT,60000.0,11.0,70.0,0,9,56000,14338,2,5,,9,2,36400,9,7,2,1,92.3,debt_consolidation,10000,36,5.32,301.15,A,Jan-2018,8704.48,1498.36,1295.52,202.84
MO,MORTGAGE,48000.0,2.88,0.0,2,9,147217,2489,2,3,0.0,9,1,25000,18,6,1,2,100.0,house,6000,36,6.07,182.73,A,Mar-2018,5540.54,544.14,459.46,84.68
CA,MORTGAGE,106000.0,26.25,0.0,2,15,405236,105548,2,4,0.0,15,8,62120,26,12,12,4,100.0,debt_consolidation,12000,36,12.62,402.14,C,Feb-2018,10878.71,1600.15,1121.29,478.86
TX,MORTGAGE,245000.0,24.9,68.0,1,20,772243,497876,13,4,6.0,20,2,74100,8,6,2,1,100.0,debt_consolidation,40000,60,9.44,838.91,B,Feb-2018,37878.15,3334.66,2121.85,1212.81
SC,MORTGAGE,80000.0,28.3,35.0,0,14,250359,113927,2,4,20.0,14,3,23800,14,11,6,4,96.3,debt_consolidation,28000,60,20.39,747.92,D,Mar-2018,27169.59,2180.32,830.41,1349.91
MD,RENT,45000.0,10.59,0.0,1,7,14500,13304,0,0,6.0,7,4,11300,8,7,6,0,100.0,debt_consolidation,10000,36,21.45,379.07,D,Jan-2018,8961.95,1871.52,1038.05,833.47
PA,RENT,75000.0,18.53,0.0,2,6,55075,34186,2,3,2.0,6,1,19600,9,4,2,0,100.0,other,9500,36,10.42,308.42,B,Jan-2018,8350.57,1531.1,1149.43,381.67
CA,RENT,53592.0,7.1,0.0,0,4,42499,10466,1,1,14.0,4,1,18800,3,3,2,1,100.0,other,30000,36,12.61,1005.2,C,Feb-2018,27196.39,3978.77,2803.61,1175.16
MD,RENT,90000.0,15.72,0.0,8,10,77285,51012,2,4,3.0,10,2,23900,11,8,3,3,100.0,moving,15000,60,11.99,333.6,B,Feb-2018,14254.01,1314.42,745.99,568.43
VA,RENT,77000.0,14.82,80.0,0,14,74852,44015,2,5,16.0,14,3,27700,19,11,6,3,96.6,debt_consolidation,35000,60,15.05,833.57,C,Jan-2018,33391.61,3275.75,1608.39,1667.36
TX,RENT,42000.0,25.89,0.0,1,6,43239,31094,3,4,1.0,6,2,8300,7,3,3,0,100.0,credit_card,10000,36,15.05,346.9,C,Feb-2018,9097.26,1379.24,902.74,476.5
TX,MORTGAGE,130000.0,13.51,0.0,2,11,403408,49857,2,9,8.0,11,2,34300,7,6,4,2,100.0,home_improvement,40000,60,12.62,902.37,C,Feb-2018,38042.58,3581.44,1957.42,1624.02
NC,OWN,76300.0,10.71,68.0,4,12,185068,26515,2,7,0.0,12,2,16800,21,9,4,3,96.7,debt_consolidation,15000,36,6.72,461.24,A,Jan-2018,13092.56,2295.0,1907.44,387.56
FL,MORTGAGE,190000.0,2.68,0.0,0,9,175300,18870,0,4,16.0,9,4,78300,10,8,5,1,100.0,debt_consolidation,20000,36,6.71,614.9,A,Mar-2018,18991.05,1214.89,1008.95,205.94
TX,RENT,41000.0,25.7,0.0,0,7,29311,13527,2,1,17.0,7,5,10300,7,5,5,2,100.0,debt_consolidation,4500,36,15.05,156.11,C,Feb-2018,4093.75,620.68,406.25,214.43
NE,RENT,30000.0,3.64,0.0,0,7,18000,5542,0,1,,7,2,17000,8,7,3,0,100.0,car,16000,60,9.93,339.41,B,Jan-2018,14947.68,1688.22,1052.32,635.9
NC,MORTGAGE,88000.0,17.24,61.0,2,25,404236,199983,18,5,3.0,25,3,32000,8,6,4,2,97.4,credit_card,10000,36,10.42,324.65,B,Jan-2018,9036.27,1292.81,963.73,329.08
TX,MORTGAGE,115000.0,18.72,26.0,6,15,394519,69124,2,11,1.0,15,8,40150,12,10,5,2,76.0,debt_consolidation,20000,60,22.91,562.78,E,Feb-2018,19255.22,2225.66,744.78,1480.88
TX,RENT,95731.0,19.64,0.0,1,15,86768,53109,2,10,4.0,15,2,33700,21,13,4,0,100.0,debt_consolidation,20600,60,30.79,676.52,G,Jan-2018,19821.53,3345.79,778.47,2567.32
CA,RENT,127000.0,9.12,7.0,0,9,74518,34313,1,2,18.0,9,3,32300,9,8,4,0,100.0,major_purchase,35000,60,15.05,833.57,C,Feb-2018,33396.01,3305.02,1603.99,1701.03
NC,MORTGAGE,70000.0,21.41,0.0,1,6,279995,52244,2,4,9.0,6,1,14800,10,3,2,3,100.0,debt_consolidation,12000,36,6.07,365.45,A,Mar-2018,11081.12,1092.3,918.88,173.42
NJ,MORTGAGE,75000.0,20.16,0.0,4,23,365595,30262,2,9,0.0,23,6,49600,31,20,7,1,100.0,house,15000,36,7.34,465.5,A,Mar-2018,13871.88,1390.38,1128.12,262.26
NV,MORTGAGE,73000.0,39.08,0.0,8,24,146435,51162,3,9,0.0,24,8,40600,24,21,13,1,100.0,debt_consolidation,20000,36,13.59,679.58,C,Feb-2018,18156.66,2703.22,1843.34,859.88
NV,MORTGAGE,76000.0,14.62,0.0,2,14,368543,24135,2,9,12.0,14,5,56300,11,11,5,2,100.0,debt_consolidation,6000,36,6.72,184.5,A,Jan-2018,5391.31,736.88,608.69,128.19
CO,RENT,188000.0,11.64,0.0,1,24,80444,45181,2,10,6.0,24,15,28500,22,22,20,0,100.0,debt_consolidation,10000,36,5.31,301.11,A,Feb-2018,8965.72,1201.49,1034.28,167.21
WV,MORTGAGE,50000.0,12.15,80.0,8,13,97664,21687,1,3,10.0,13,4,25600,21,11,4,2,96.2,debt_consolidation,25000,36,9.93,805.86,B,Jan-2018,21955.1,4015.51,3044.9,970.61
MD,OWN,58000.0,12.58,43.0,0,10,37300,14770,0,3,,10,4,17000,14,9,6,2,86.4,debt_consolidation,10000,36,9.92,322.3,B,Mar-2018,9275.14,961.39,724.86,236.53
VA,RENT,105000.0,16.73,0.0,0,6,63600,53168,1,0,,6,4,51100,5,5,4,0,100.0,debt_consolidation,6000,36,9.93,193.41,B,Feb-2018,5417.78,768.68,582.22,186.46
VA,MORTGAGE,114000.0,28.13,15.0,1,17,451597,88594,6,8,12.0,17,2,33000,14,10,8,5,96.4,credit_card,20000,60,14.07,466.1,C,Mar-2018,19297.02,1367.03,702.98,664.05
CA,MORTGAGE,150000.0,7.89,0.0,1,8,96633,43253,2,6,2.0,8,4,54000,18,6,4,0,100.0,medical,15000,36,7.97,469.84,A,Feb-2018,13504.32,1866.08,1495.68,370.4
PA,MORTGAGE,69000.0,15.42,75.0,0,8,291176,33890,2,3,14.0,8,2,57700,23,5,3,2,94.3,debt_consolidation,20000,36,5.31,602.21,A,Mar-2018,18452.04,1800.73,1547.96,252.77
FL,MORTGAGE,30000.0,32.4,27.0,1,23,69244,23425,1,4,10.0,21,5,16850,23,20,15,0,93.0,debt_consolidation,10500,60,9.93,222.74,B,Feb-2018,9949.81,885.17,550.19,334.98
IL,MORTGAGE,60000.0,17.28,0.0,2,13,47882,36724,2,8,5.0,13,6,12300,13,11,8,1,100.0,credit_card,11400,60,14.08,265.74,C,Jan-2018,10862.71,1098.63,537.29,561.34
NH,MORTGAGE,74000.0,32.06,0.0,0,9,384554,63783,3,1,16.0,9,5,66400,7,5,5,3,100.0,car,5500,36,12.61,184.29,C,Mar-2018,5116.52,549.02,383.48,165.54
UT,RENT,25000.0,3.7,14.0,1,4,1900,807,0,2,1.0,4,2,1200,6,4,3,0,66.7,debt_consolidation,5000,36,12.62,167.56,C,Jan-2018,4412.9,829.04,587.1,241.94
